num_heads,head_dim,parametros,matrizes_atencao,tempo_ms,entropia_normalizada,dissimilaridade_entre_cabecas
1,96,36960,8,0.6850133339564005,0.94173264503479,0.0
2,48,36960,16,0.9745566640049219,0.9415554404258728,0.4440824091434479
3,32,36960,24,0.9043633472174406,0.941890299320221,0.43317071596781415
4,24,36960,32,1.1499433312565088,0.941035270690918,0.4366854826609294
6,16,36960,48,1.3291200002034507,0.9415478110313416,0.4326373596986135
8,12,36960,64,2.4191133367518582,0.941141664981842,0.43226849074874607
12,8,36960,96,4.30533333371083,0.9414840340614319,0.4277910129590468
16,6,36960,128,6.41377999757727,0.9415106177330017,0.42617339715361596
