sequencia,num_tokens,entropia_normalizada,atencao_ao_primeiro_token,atencao_ao_proprio_token,peso_maximo_fora_da_linha_0
exemplo do livro,7,0.8874673247337341,0.23161680996418,0.29000532627105713,0.8324477076530457
narrativa (corpus),27,0.905481219291687,0.11428363621234894,0.11176179349422455,0.8836371898651123
diálogo (corpus),25,0.9261658787727356,0.11940238624811172,0.117254339158535,0.8442100286483765
token repetido,21,0.9316262006759644,0.1406824141740799,0.13055182993412018,0.7943202257156372
token repetido (sem posicional),21,0.9909599423408508,0.12671419978141785,0.13457612693309784,0.7668477892875671
tokens sem relação,19,0.8867082595825195,0.13938063383102417,0.12922580540180206,0.9285442233085632
pontuação pesada,19,0.9120193123817444,0.14988166093826294,0.13926123082637787,0.7405776381492615
