mecanismo,cabecas,d_saida,parametros,causal,tempo_ms,entropia_normalizada,dissimilaridade_entre_cabecas
atencao_simples,1,96,0,nao,0.3196033338705699,4.78689213689284e-18,0.0
SelfAttentionV2,1,96,27648,nao,0.46024333375195664,0.9543654322624207,0.0
CausalAttention,1,96,27648,sim,0.6628933362662792,0.94173264503479,0.0
MultiHeadAttentionWrapper,4,96,27648,sim,1.7907233287890754,0.9406227469444275,0.4325025628010432
MultiHeadAttention,4,96,36960,sim,1.2957366649061441,0.941035270690918,0.4366854826609294
